trading_date,sector,sentiment_score,covered_tickers,total_tickers,headline_count,coverage_ratio,score_100,lagged_sentiment_score,lagged_score_100,sentiment_z,sentiment_z_21d_mean
2020-01-23,Industrials,0.029595238095238098,4,5,14,0.8,51.4797619047619,-0.01411142857142857,49.294428571428575,,
2020-01-23,Materials,0.09407,5,5,9,1.0,54.703500000000005,-0.059199999999999996,47.04,,
2020-01-23,RealEstate,0.19264,3,5,4,0.6,59.632,0.033240000000000006,51.662,,
2020-01-23,Tech,0.03933,5,5,36,1.0,51.9665,0.148628,57.4314,,
2020-01-23,Utilities,-0.028099999999999997,4,5,8,0.8,48.595,0.12954916666666666,56.47745833333333,,
2020-01-24,Comm,0.10319751515151514,4,5,24,0.8,55.15987575757576,0.19783685714285712,59.891842857142855,,
2020-01-24,Consumer,0.08144884615384615,5,5,23,1.0,54.072442307692306,0.12347166666666667,56.17358333333333,,
2020-01-24,Energy,0.17952166666666666,5,5,14,1.0,58.97608333333333,0.05676333333333333,52.838166666666666,,
2020-01-24,Financials,-0.057089999999999995,3,5,6,0.6,47.1455,0.032470000000000006,51.6235,,
2020-01-24,Healthcare,0.2246453333333333,5,5,14,1.0,61.23226666666667,0.020309999999999998,51.0155,,
2020-01-24,Industrials,0.04934533333333334,3,5,11,0.6,52.46726666666667,0.029595238095238098,51.4797619047619,,
2020-01-24,Materials,0.089688,3,5,11,0.6,54.4844,0.09407,54.703500000000005,,
2020-01-24,RealEstate,0.03612,2,5,5,0.4,51.806,0.19264,59.632,,
2020-01-24,Tech,0.06976172043010753,5,5,46,1.0,53.488086021505374,0.03933,51.9665,,
2020-01-24,Utilities,0.1899032941176471,5,5,28,1.0,59.49516470588235,-0.028099999999999997,48.595,,
2020-01-27,Comm,-0.03633272727272728,4,5,20,0.8,48.18336363636364,0.10319751515151514,55.15987575757576,,
2020-01-27,Consumer,0.04014555555555556,5,5,42,1.0,52.00727777777778,0.08144884615384615,54.072442307692306,,
2020-01-27,Energy,0.042971666666666665,5,5,22,1.0,52.148583333333335,0.17952166666666666,58.97608333333333,,
2020-01-27,Financials,-0.03427999999999999,3,5,5,0.6,48.286,-0.057089999999999995,47.1455,,
2020-01-27,Healthcare,0.2709377777777778,5,5,23,1.0,63.54688888888889,0.2246453333333333,61.23226666666667,,
2020-01-27,Industrials,0.061516666666666664,5,5,18,1.0,53.075833333333335,0.04934533333333334,52.46726666666667,,
2020-01-27,Materials,-0.0014733333333333321,4,5,14,0.8,49.92633333333333,0.089688,54.4844,,
2020-01-27,RealEstate,0.05106000000000001,3,5,6,0.6,52.553000000000004,0.03612,51.806,,
2020-01-27,Tech,-0.17687049999999999,5,5,31,1.0,41.156475,0.06976172043010753,53.488086021505374,,
2020-01-27,Utilities,0.00023174603174603293,4,5,21,0.8,50.0115873015873,0.1899032941176471,59.49516470588235,,
2020-01-28,Comm,0.036708000000000005,4,5,15,0.8,51.8354,-0.03633272727272728,48.18336363636364,,
2020-01-28,Consumer,0.048776,4,5,37,0.8,52.43879999999999,0.04014555555555556,52.00727777777778,,
2020-01-28,Energy,0.09863333333333334,2,5,6,0.4,54.931666666666665,0.042971666666666665,52.148583333333335,,
2020-01-28,Financials,0.12932857142857143,4,5,10,0.8,56.46642857142857,-0.03427999999999999,48.286,,
2020-01-28,Healthcare,0.187105,5,5,12,1.0,59.355250000000005,0.2709377777777778,63.54688888888889,,
2020-01-28,Industrials,-0.005675833333333336,4,5,34,0.8,49.716208333333334,0.061516666666666664,53.075833333333335,,
2020-01-28,Materials,0.167525,5,5,16,1.0,58.37625,-0.0014733333333333321,49.92633333333333,,
2020-01-28,RealEstate,0.07579,3,5,4,0.6,53.789500000000004,0.05106000000000001,52.553000000000004,,
2020-01-28,Tech,0.026307692307692303,4,5,30,0.8,51.315384615384616,-0.17687049999999999,41.156475,,
2020-01-28,Utilities,0.016056,4,5,14,0.8,50.802800000000005,0.00023174603174603293,50.0115873015873,,
2020-01-29,Comm,0.251681,4,5,11,0.8,62.584050000000005,0.036708000000000005,51.8354,,
2020-01-29,Consumer,0.0181757619047619,5,5,35,1.0,50.9087880952381,0.048776,52.43879999999999,,
2020-01-29,Energy,0.010496666666666668,4,5,13,0.8,50.52483333333333,0.09863333333333334,54.931666666666665,,
2020-01-29,Financials,0.152345,4,5,7,0.8,57.61725,0.12932857142857143,56.46642857142857,,
2020-01-29,Healthcare,0.151238,5,5,12,1.0,57.5619,0.187105,59.355250000000005,,
2020-01-29,Industrials,-0.003876666666666665,4,5,28,0.8,49.80616666666667,-0.005675833333333336,49.716208333333334,,
2020-01-29,Materials,0.07401857142857143,3,5,20,0.6,53.70092857142858,0.167525,58.37625,,
2020-01-29,RealEstate,0.09878,3,5,5,0.6,54.93900000000001,0.07579,53.789500000000004,,
2020-01-29,Tech,0.11712079365079367,4,5,33,0.8,55.85603968253968,0.026307692307692303,51.315384615384616,,
2020-01-29,Utilities,0.13221500000000003,4,5,11,0.8,56.610749999999996,0.016056,50.802800000000005,,
2020-01-30,Comm,-0.01672166666666667,4,5,18,0.8,49.163916666666665,0.251681,62.584050000000005,,
2020-01-30,Consumer,0.04731414285714286,5,5,40,1.0,52.36570714285714,0.0181757619047619,50.9087880952381,,
2020-01-30,Energy,0.10769714285714287,4,5,15,0.8,55.38485714285714,0.010496666666666668,50.52483333333333,,
2020-01-30,Financials,0.020736666666666667,3,5,9,0.6,51.036833333333334,0.152345,57.61725,,
2020-01-30,Healthcare,0.12495727272727272,3,5,16,0.6,56.24786363636364,0.151238,57.5619,,
2020-01-30,Industrials,0.10617999999999998,4,5,13,0.8,55.309,-0.003876666666666665,49.80616666666667,,
2020-01-30,Materials,-0.071658,4,5,32,0.8,46.4171,0.07401857142857143,53.70092857142858,,
2020-01-30,RealEstate,0.11583999999999998,5,5,7,1.0,55.791999999999994,0.09878,54.93900000000001,,
2020-01-30,Tech,-0.032986666666666664,4,5,21,0.8,48.35066666666666,0.11712079365079367,55.85603968253968,,
2020-01-30,Utilities,0.15763066666666664,4,5,11,0.8,57.88153333333334,0.13221500000000003,56.610749999999996,,
2020-01-31,Comm,-0.18953272727272727,4,5,15,0.8,40.523363636363634,-0.01672166666666667,49.163916666666665,,
2020-01-31,Consumer,0.02208868686868687,4,5,25,0.8,51.10443434343435,0.04731414285714286,52.36570714285714,,
2020-01-31,Energy,0.05733571428571429,5,5,31,1.0,52.86678571428571,0.10769714285714287,55.38485714285714,,
2020-01-31,Financials,0.09355142857142858,4,5,12,0.8,54.677571428571426,0.020736666666666667,51.036833333333334,,
2020-01-31,Healthcare,0.20481533333333335,4,5,25,0.8,60.240766666666666,0.12495727272727272,56.24786363636364,,
2020-01-31,Industrials,0.07855100000000001,5,5,26,1.0,53.927550000000004,0.10617999999999998,55.309,,
2020-01-31,Materials,0.01773333333333333,4,5,15,0.8,50.88666666666667,-0.071658,46.4171,,
2020-01-31,RealEstate,0.14476,3,5,4,0.6,57.238,0.11583999999999998,55.791999999999994,,
2020-01-31,Tech,0.11111555555555556,4,5,15,0.8,55.555777777777784,-0.032986666666666664,48.35066666666666,,
2020-01-31,Utilities,0.11301999999999998,4,5,9,0.8,55.650999999999996,0.15763066666666664,57.88153333333334,,
